"file","line","table","risk","snippet"
"includes/gl_pending_movements.php","607","journal_vouchers","OK","$vSt = $pdo->prepare('SELECT * FROM journal_vouchers WHERE id = ? FOR UPDATE');"
"includes/gl_pending_movements.php","630","journal_vouchers","OK","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$vid]);"
"includes/gl_pending_movements.php","661","accounts","OK","INNER JOIN accounts a ON a.id = jl.account_id"
"includes/gl_pending_movements.php","703","accounts","OK","$acctSql = 'SELECT id, COALESCE(code, \'\') AS code, name FROM accounts WHERE id IN (' . $in . ')';"
"includes/gl_pending_movements.php","811","accounts","OK","$chk = $pdo->prepare('SELECT COALESCE(code, \'\') AS code, name FROM accounts WHERE id = ? LIMIT 1');"
"includes/gl_settings.php","507","accounts","OK","$sql = 'SELECT a.id FROM accounts a WHERE a.code = ? AND ' . orange_accounts_posting_leaf_where_sql($pdo, 'a');"
"includes/journal_voucher.php","42","journal_vouchers","OK","$sql = 'SELECT COALESCE(MAX(jv.id), 0) + 1 FROM journal_vouchers jv WHERE 1=1' . $bind['sql'];"
"includes/journal_voucher.php","60","journal_vouchers","OK","'SELECT 1 FROM journal_vouchers WHERE reference LIKE ?' . $bind['sql'] . ' LIMIT 1'"
"includes/journal_voucher.php","77","journal_vouchers","OK","'SELECT reference FROM journal_vouchers WHERE reference LIKE ?' . $bind['sql'] . ' ORDER BY id ASC'"
"includes/journal_voucher.php","124","journal_vouchers","OK","$st = $pdo->prepare('SELECT country_id FROM journal_vouchers WHERE id = ? LIMIT 1');"
"includes/journal_voucher.php","142","journal_vouchers","OK","'SELECT * FROM journal_vouchers WHERE reference = ?' . $bind['sql'] . ' ORDER BY id DESC LIMIT 1'"
"includes/journal_voucher.php","183","journal_vouchers","OK","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([(int) $v['id']]);"
"includes/journal_voucher.php","363","journal_vouchers","OK","'SELECT COALESCE(MAX(voucher_serial), 0) + 1 FROM journal_vouchers WHERE fiscal_year_id = ? AND journal_serial_bucket = ?'"
"includes/journal_voucher.php","384","journal_vouchers","OK","'SELECT COUNT(*) FROM journal_vouchers WHERE voucher_serial <= 0 OR TRIM(COALESCE(journal_serial_bucket,\'\')) = \'\''"
"includes/journal_voucher.php","392","journal_vouchers","OK",". ' FROM journal_vouchers WHERE voucher_serial <= 0 OR TRIM(COALESCE(journal_serial_bucket,\'\')) = \'\' ORDER BY COALESCE(fiscal_year_id,0) ASC, id ASC'"
"includes/journal_voucher.php","524","accounts","OK","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"includes/journal_voucher.php","621","journal_vouchers","OK","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$vid]);"
"includes/journal_voucher.php","698","journal_vouchers","OK","$ex = $pdo->prepare('SELECT id FROM journal_vouchers WHERE id = ? LIMIT 1');"
"includes/journal_voucher.php","761","accounts","OK","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"includes/journal_voucher.php","812","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"includes/journal_voucher.php","865","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"includes/journal_voucher.php","914","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"includes/party_subledger.php","193","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"includes/party_subledger.php","243","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"includes/year_end_close.php","30","journal_vouchers","OK","$stChk = $pdo->prepare('SELECT id FROM journal_vouchers WHERE reference IN (?,?,?,?) LIMIT 1');"
"includes/year_end_close.php","93","accounts","OK","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"includes/year_end_close.php","222","journal_vouchers","OK","'SELECT id FROM journal_vouchers WHERE reference IN (?,?,?,?) OR (fiscal_year_id = ? AND entry_type = ?)'"
"includes/year_end_close.php","238","journal_vouchers","OK","$pdo->prepare(""DELETE FROM journal_vouchers WHERE id IN ($delPh)"")->execute($ids);"
"scripts/migrations/010_remove_analytical_coa_root.sql","5","accounts","MAINT","DELETE a FROM accounts a"
"scripts/migrations/010_remove_analytical_coa_root.sql","12","accounts","MAINT","AND NOT EXISTS (SELECT 1 FROM accounts AS c WHERE c.parent_id = a.id);"
"scripts/migrations/011_ensure_off_balance_coa_root.sql","36","accounts","MAINT","FROM accounts a"
"scripts/migrations/011_ensure_off_balance_coa_root.sql","46","accounts","MAINT","FROM accounts AS a"
"scripts/maintenance_empty_accounts_reset_autoincrement.sql","42","journal_vouchers","MAINT","'INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id ',"
"scripts/maintenance_empty_accounts_reset_autoincrement.sql","55","journal_vouchers","MAINT","'INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id ',"
"scripts/maintenance_empty_accounts_reset_autoincrement.sql","68","journal_vouchers","MAINT","'INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id ',"
"scripts/maintenance_empty_accounts_reset_autoincrement.sql","79","journal_vouchers","MAINT","CONCAT('DELETE FROM journal_vouchers WHERE country_id = ', @cid),"
"scripts/maintenance_empty_accounts_reset_autoincrement.sql","80","journal_vouchers","MAINT","IF(@has_jv_country > 0, 'SELECT 1', 'DELETE FROM journal_vouchers')"
"scripts/maintenance_empty_accounts_reset_autoincrement.sql","90","accounts","MAINT","'LEFT JOIN accounts ad ON ad.id = og.account_debit ',"
"scripts/maintenance_empty_accounts_reset_autoincrement.sql","91","accounts","MAINT","'LEFT JOIN accounts ac ON ac.id = og.account_credit ',"
"scripts/maintenance_empty_accounts_reset_autoincrement.sql","113","accounts","MAINT","'INNER JOIN accounts a ON a.id = e.expense_account_id ',"
"scripts/maintenance_empty_accounts_reset_autoincrement.sql","125","accounts","MAINT","CONCAT('DELETE FROM accounts WHERE country_id = ', @cid),"
"scripts/maintenance_empty_accounts_reset_autoincrement.sql","126","accounts","MAINT","IF(@has_acct_country > 0, 'SELECT 1', 'DELETE FROM accounts')"
"scripts/maintenance_empty_accounts_reset_autoincrement.sql","132","accounts","MAINT","SET @acct_remaining := (SELECT COUNT(*) FROM accounts);"
"scripts/mysql-strong-integrity.sql","30","accounts","MAINT","-- LEFT JOIN accounts a ON a.id = jl.account_id WHERE jl.account_id IS NOT NULL AND a.id IS NULL;"
"scripts/mysql-strong-integrity.sql","42","journal_vouchers","MAINT","-- INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"scripts/mysql-strong-integrity.sql","43","accounts","MAINT","-- LEFT JOIN accounts a ON a.id = jl.account_id AND a.country_id = jv.country_id"
"scripts/mysql-strong-integrity.sql","46","accounts","MAINT","-- LEFT JOIN accounts a ON a.id = og.account_debit AND a.country_id = @cid"
