"Table","File","Line","Snippet"
"accounts","includes/accounting_report_mapping.php","52","$st = $pdo->prepare('SELECT ' . $cols . ' FROM accounts a' . $join . ' WHERE a.id IN (' . $ph . ')')..."
"accounts","includes/catalog_schema.php","504","$cnt = (int) $pdo->query('SELECT COUNT(*) FROM accounts')->fetchColumn();"
"accounts","includes/catalog_schema.php","542","$cnt2 = (int) $pdo->query('SELECT COUNT(*) FROM accounts')->fetchColumn();"
"accounts","includes/countries.php","669","$st = $pdo->prepare('SELECT country_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/countries.php","689","$st = $pdo->prepare('SELECT country_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/countries.php","712","'SELECT id FROM accounts WHERE id IN (' . $ph . ') AND country_id = ?'"
"accounts","includes/country_provision.php","52","$st = $pdo->prepare('SELECT COUNT(*) FROM accounts WHERE country_id = ?');"
"accounts","includes/country_provision.php","193","$stCnt = $pdo->prepare('SELECT COUNT(*) FROM accounts WHERE country_id = ?');"
"accounts","includes/country_provision.php","201","$stSrc = $pdo->prepare('SELECT * FROM accounts WHERE country_id = ? ORDER BY id ASC');"
"accounts","includes/financial_report_breakdown.php","234","$sql = 'SELECT ' . $cols . ' FROM accounts a' . $join . ' WHERE ' . $lw;"
"accounts","includes/gl_pending_movements.php","660","INNER JOIN accounts a ON a.id = jl.account_id"
"accounts","includes/gl_pending_movements.php","702","$st = $pdo->query('SELECT id, COALESCE(code, \'\') AS code, name FROM accounts WHERE id IN (' . $in ..."
"accounts","includes/gl_pending_movements.php","798","$chk = $pdo->prepare('SELECT COALESCE(code, \'\') AS code, name FROM accounts WHERE id = ? LIMIT 1')..."
"accounts","includes/gl_settings.php","507","$sql = 'SELECT a.id FROM accounts a WHERE a.code = ? AND ' . orange_accounts_posting_leaf_where_sql(..."
"accounts","includes/journal_voucher.php","483","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/journal_voucher.php","720","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/year_end_close.php","93","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","scripts/maintenance_empty_accounts_reset_autoincrement.sql","32","DELETE FROM accounts;"
